,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10,ফারহান পারভেজ আহমেদ,যাকাত এর সিস্টেম অপছন্দনীয় মনে হলে দিয়েন না। কেও তো বাধ্য করতেছেনা যাকাত দিতে।,,,,,,,,,,,,,,
11,Didarul Alam,নাফির অনুভূতিটা আসলে কোনও ভন্ড এবং চালবাজ ব্যাক্তির সামাজিক ও ধার্মিক কলহ তৈরী করার জন্য বানানো ও শেয়ার করা হয়েছে। একজন প্রাক্টিসিং মুসলিমের মনে কখনো এই ধরণের জঘন্য অনুভূতি আসা সম্ভব না তাও আবার রমজান মাসে!,,,,,,,,,,,,,,
12,Nabila Fairuz,"কাউকে বেশি যাকাত দিতে হচ্ছে বা কম দিতে হচ্ছে এটা নিয়ে আমার মনে হয় মন খারাপের কিছু নেই। আমি যাকাত দিচ্ছি শুধুমাত্রই আল্লাহর কাছে আমার accountability থেকে। একটা ফরয ইবাদত পালন করছি। এখানে লাভ-লোকসান হিসাব করা চলে না। হজ্জ পালন করার মত, হজ্জ যার উপর ফরয সে কখন এভাবে চিন্তা করবে না যে হজ্জে তার অনেক টাকা লোকসান গেল, এই টাকা দিয়ে সে বাড়ি গাড়ি করতে পারত। সে এটা ভেবেই আনন্দিত হয় যে আল্লাহ তাকে হজ্জ করার সামর্থ্য দিয়েছেন। যাকাতের ক্ষেত্রেও সেম । আল্লাহ যে তাকে এত টাকার যাকাত দেওয়ার সামর্থ্য দিয়েছে এটা চিন্তা করেই তো অনেক আনন্দ হওয়ার কথা।",,,,,,,,,,,,,,
13,Mamunur Rahman,সরকার কে ১৫ থেকে ২০% ইনকাম ট্যাক্স দিতে পারলে রোজার মাসে ২.৫% যাকাত দিতে মন খারাপ লাগার কথা না। গল্পের প্লট খুব ই নিম্ন মানের।,,,,,,,,,,,,,,
14,Anwar Shumon,নাফির এক লক্ষ টাকার যাকাতের জন্য তার কাছে পুরো এক বছর মিনিমাম ৪০ লক্ষ টাকা ক্যাশ ছিল,,,,,,,,,,,,,,
15,Mohiuddin Adnan,Mohiuddin Adnan,,,,,,,,,,,,,,
16,Mehdi Hasan Shanto,পুরাই আজাইরা বানোয়াট গল্প... তাও আবার বুয়েটের কম্পিউটার ইঞ্জিনিয়ারদের নিয়ে.. 😂,,,,,,,,,,,,,,
17,Md Asif Hossain Bhuiyan,"বিশ্বাস- আকিদা। না দেখে, স্রষ্টার কাছে আত্মসমর্পণ। সবকিছুর তিনিই মালিক, তিনিই চূড়ান্ত ফয়সালাকারী।

তিনিই সম্পদ দান করেন। এবং এর মাধ্যমেই তিনি পরীক্ষা নেন। এসময়ের, এই পরীক্ষা-ক্ষেত্র
ের স্ট্রাগল বারজাখ থেকে রিটার্ন করা শুরু করবে। সে পর্যন্ত ধৈর্য্য রাখলেই হয়।

এই বিশ্বাস বা তাকওয়া অর্জনটাই এ জীবনবিধানের মূল ভিত্তি।",,,,,,,,,,,,,,
18,Ruknul Ferdous,বাংলাদেশ এর নাস্তিকদের ইসলাম ধর্ম নিয়ে অনেক সমস্যা। এদের আবার হিন্দুধর্ম বা অন্য কোন ধর্মের ব্যাপারে কোন সমস্যা নেই। বিচিত্র তাদের এই মনোভাব।,,,,,,,,,,,,,,
19,Al Amin Miah,Why you have so much headache about Jakat. Why you need to create story about it. If you dont want you dont give it. Many people dont pray salat though it is faraz.,,,,,,,,,,,,,,
20,Mushaddique Meraz,"১ লাখ টাকা যাকাত দিক না, এর বদৌলতে হয়তো আগামী ১ বছরে ফ্ল্যাট কেনার পুরো টাকা হাতে এসে যাবে, আল্লাহ ব্যবস্থা করে দিবেন।",,,,,,,,,,,,,,
21,Yasser Karim Sunny,"Dude , Donald trump pay less tax than me , 😛 , this is how world'a taxation system works ! Zakat is nothing less or more . You just have to learn how to game the system 😀",Hasib Uz Zaman,"Yasser Karim Sunny if Nafi takes interest from islami bank and pay zakat from that money, many brothers wont mind here.",,,,,,,,,,,,
22,Ashraf Raheb,"মানুষ দুইরকম। কেউ ইবাদাত করতে পেরে সুখী হয়, আর কেউ ইবাদাত কে বোঝা মনে করে দুখী হয়।

নাফীর সৌভাগ্য যে আল্লাহতায়ালা তাকে ইবাদাত করার সৌভাগ্য দিয়েছেন। যার বিনিময় হচ্ছে সেই প্রতিশ্রুত জান্নাত, জগতের সমস্ত ধন সম্পদ একত্রে করেও যার একটি ধুলিকণা কেনা যাবেনা।

এতে নাফী আসলে খুশিই আছে। বরং বাইরের কিছু সুশীল পাবলিক মনে করছে সে অখুশী। যেভাবে আমাদের মায়েরা বোরকা পরে খোদার বিধান মেনে নিয়ে খুশি থাকে, আর ওয়েস্টার্নাইজড সুশীলেরা মনে করে তারা অখুশী ও বন্দি।",,,,,,,,,,,,,,
23,Brata Roy,কাফি গালি খাবেন মনে হচ্ছে!,Hasib Uz Zaman,Brata Roy i won't mind because i failed to present the story properly. May be readers are completely skipping first two characters and only focusing on last paragraph or last lines.,Brata Roy,Hasib Uz Zaman তারা অনুভূতি-প্রবণ।,,,,,,,,,,
24,Mehedi Hasan,"যাকাত calculation এতটা সহজ না। কয় ভরি স্বর্ণ আছে, কোথায় running investment আছে, লোন কিস্তির ক্ষেত্রে শুধু এক বছরের টাকা বিয়োগ করা যায়।
এক বাক্যে বলা যায় পোস্টের চরিত্রের কেস এবং হিসাব বাস্তব সম্মত না।
আর যারা ব্যাংকে সুদের সাথে জড়িত, সেই সব character যাকাত নিয়ে concern জেনে ভাল লাগলো । কিন্তু হিসাবটা সঠিক ভাবে করতে হবে।",,,,,,,,,,,,,,
25,Anwarul Maruf,"If anyone wants to avoid paying zakat, all he has to do is transfer all his wealth to his wife before year ends, and his wife need to do the same next year. No court in this world can make him accountable for not paying zakat. But it may be a different case on the day of judgement though.",Hasib Uz Zaman,Anwarul Maruf one can play many tricks to avoid zakat whereas other guy may feel guilty seating idle.,,,,,,,,,,,,
26,Hasib Uz Zaman,"To all, thanks for the overwhelming response. It seems like we are on right track. 99% readers of this post are serving ""proper"" amonut of zakat with ""halal"" money, and it is strongly discouraged to make story on this topic. Nafi character might exist among us, but Shafi/Rafi are totally fictional.",,,,,,,,,,,,,,
27,Al Amin Miah,"The amount doesn't matter. It maybe 1k or 100k at the end of Jakat year. Only Allah knows the intention. Its enough. But the writer has ugly mind inside about Jakat. He wants to mean that Jakat system is not fairly directed. But its just his bad idea. I dont want to argue. Just want to say, if you have pure mind inside you can see hundreds of buty in Islam and Prophet S.M. but if you have dirty mind inside you may find many things bad here. No matter, someone may not like this rules. But we are proud that hundreds of noble persons, knowledgeable persons followed Islamic rules over the years. And still many of them are following. I have just pity on you !",,,,,,,,,,,,,,
28,Asif Reza Chowdhury,"Rafi bhai, ei obostha taile? Next time dekh hoile Intercontinenta
l e treat diben - dabi janailam.",Shams Shad Rafi,Asif Reza Chowdhury আমি নাম এফিডেফিট করে নাফি রাখবো। আমার এক স্কুলে ফ্রেন্ডের নাম নাফি৷ ওর সাথে পালটায় রাখবো।,Asif Reza Chowdhury,"eshob koiren na. Ektu khaoaile teka tuka kombe, oi jot shamanno jakat tao deoa lagbe na.",,,,,,,,,,
29,Quazi Habibul Hossain Tito,"জাকাত হচ্ছে সম্পদের ময়লার মত বিষয়। সেজন্যে এর বিভিন্নরকম উপকার, দাতা দুনিয়ায় পান ও আখিরাতে প্রাপ্য থাকেন।
আল্লাহ সব্বাইকে নিসাব পরিমান কমপক্ষে জাকাত আদায়ের তৌফিক দিন। অতিরিক্ত দান, আল্লাহ সোবহানতায়ালা দুইরকমের বরকতে ভরে দিন।",,,,,,,,,,,,,,
30,Ashif Tanbin,"Islam's economic principle is equal distribution of wealth in the society (as much as possible). As far as I understand, Islam don't like economic discrimination like a capitalist society have.
In this story, at a glance it felt really unfair to Nafi. But if you look deeply, there are some serious gap in the storyline. Here are some questions:

""শাফির বাবা সরকারী চাকরিজীবি ছিলেন। রিটায়ারমেন্টের পরে পেনশনের টাকা দিয়ে বনশ্রীতে ফ্লাট কিনেছেন। শাফি বিয়ের পরে মালিবাগে বাসা ভাড়া নিয়ে বউ বাচ্চা নিয়ে থাকে। তার স্ত্রী ব্যাংকে জব করে বাবার থেকে পাওয়া অভ্যাসে শাফি খুব হিসাব করে চলে, নিজের জমানো টাকা আর স্ত্রীর জমানো টাকা দিয়ে আর ব্যাঙ্কের লোন নিয়ে গত বছর উত্তরায় এক কোটি বিশ লাখ টাকার ফ্লাট বুকিং দিয়েছে, প্রতি মাসে মোটা অংকের লোন পরিশোধ করতে হয়। হিসেব করে শাফির এই বছরে যাকাত আসে শূণ্য টাকা। - How many years it took Shafi and his wife to save up those money for the down payment of that flat? Few years? Let's assume 'X' years. When they were saving up, did they paid jakat during that time? If they paid jakat X years and still have enough money saved up this year to buy a 1.2 crore flat, let's assume the total jakat they paid throughout X years is A.

রাফি বনেদী পরিবারের সন্তান। ধানমন্ডিতে বাবার বাড়ি আছে, সেটার একটা ফ্লাটে স্ত্রী সন্তান সহ থাকে। পারিবারিক সূত্রে তাদের দুইটা গাড়ি আছে, সুযোগ সুবিধা মত ব্যবহার করে। তার স্ত্রীও পারিবারিক ভাবে সম্ভ্রান্তশালী।
তাদের দুই ছেলে মেয়ে স্কলাস্টিকা আর সানিডেলে পড়ে। বছরে তারা নিয়ম মাফিক দুইটা ট্যুর দেয় – একটা দেশের মধ্যে, আরেকটা দেশের বাইরে। একাধিকবার ওমরাহ করেছে। বাসার কাজের লোকদের খরচ, ড্রাইভারের খরচ, সাংসারিক খরচ, স্ট্যাটাস মেইন্টেনের খরচ শেষে তাদের সেইভিং তেমন কিছু থাকে না। তা নিয়ে কোনো মাথাব্যথা ও কাজ করে না। হিসেব করে রাফির যাকাত আসে কিছু অলংকার বাবদ দশ হাজার টাকা। সেটা সে সুন্দর মত আদায় করে। - Rafi's character is a bit unrealistic as least in long run. May be possible for few years but if you think of a lifetime, it is very unrealistic for someone that rich to have zero savings. Also all the money he is getting from his dad's business or what so ever, his dad must be paying jakat for all those huge profitable business or capitals. Let's assume the amount of Jakat coming from Rafi's family (including Dad etc) throughout X years is B.

নাফির বাবা ছোটখাট ব্যবসায়ী ছিলেন। দুনিয়ার যত ব্যবসাই সে করেছেন ধরা খেয়েছেন দুঃখজনকভাবে এবং কোন সঞ্চয় করতে পারেন নাই। নাফি বাবা-মা এবং স্ত্রী কে নিয়ে বাসাবো তে পঁচিশ হাজার টাকার ভাড়া বাসায় থাকে। বাসে করে অফিসে যায়, তার স্ত্রী বাসে-ট্রেনে করে উত্তরাতে অফিস করে। দুইজনে মিলে পাঁচবছর ধরে টাকা জমাচ্ছে একটা ফ্লাট কেনার জন্য। পূর্বাচলের দিকে কেনার ইচ্ছা আছে, এখনো ডাউন পেমেন্ট জমে নাই, ব্যাংকের লোন নেয়ার ব্যাপারে তাদের আগ্রহ বা সাহস কোনোটা নাই। এই বছর নাফির যাকাত হিসেবে আসে এক লক্ষ টাকা। প্রতিদিন যুদ্ধ করে টিকে থেকে ঢাকা শহরে একটা নিজের বাড়ির স্বপ্নে সে এতগুলো টাকা যাকাত দেয়ার কথা ভাবতে পারে না এবং রোজার মাস আসলেই তার মন খারাপ হয়ে যায়।

Let's assume Nafi's jakat throughout X years is C.

Now, what do you think, whose/which amount jakat is greater in X years? A, B or C?",,,,,,,,,,,,,,
31,Afiqur Rahman,"রমজান মাস যার মন খারাপ হয়ে যায়, তার যাকাত না দিলেও চলবে।
যাই হোক, যাকাত ইসলামের অন্যতম মূল স্তম্ভ, এর শাব্দিক অর্থ বৃদ্ধি। যাকাতের মাধ্যমে আপনি আপাতদৃষ্টিতে অন্যকে টাকা দান করলেও এতে করে আপনার সম্পদ পবিত্র হচ্ছে এবং সম্পদ বৃদ্ধি পাবে এইটা বিশ্বাস করতে হবে, বিশ্বাস করাটাই ইসলাম। আর এই রুলিং এর ফাকফোকর বের করার জন্য রাফি, শাফির গল্প বানানোর চেষ্টা করা ঠিক কিনা জানি না।",Hasib Uz Zaman,"Afiqur Rahman ঠিক এই কথাটা মাথায় এসেছে লেখার আগে যে এটা লিখলে পাপ হবে কিনা, পরে মনে হলো মনের মধ্যে দ্বিধা যখন এসেছে লিখলে আর কি এসে যাবে।",Shanchar Mahmood,"Afiqur Rahman

""রমজান মাস যার মন খারাপ হয়ে যায়, তার যাকাত না দিলেও চলবে।""

Wow, that's a very bold ruling.",Munir Haque,"Hasib Uz Zaman ""মনের মধ্যে দ্বিধা যখন এসেছে "" সেক্ষেত্রে গল্প না লিখে আগে মনে হয় একটু গুগল করে প্রশ্নের উত্তর টা জানতে চেলে ভাল হত। সেক্ষেত্রে জাস্টিফিকেশন পেয়ে যেতা। বা সরাসরি প্রশ্ন ও করতে পারতা।",Anwarul Maruf,Afiqur Rahman advance zakat may be paid thoughout the year to avoid such issues during Ramadan.,,,,,,
32,Md Azizur Rahman Ziko,"সুন্দর প্লট।

কিছুদিন পর দেখবো হজ্জ পালনে খরচ দেখে মন খারাপ, নামাজ পালনে শারীরিক কষ্টের জন্য মন খারাপ....",Hasib Uz Zaman,"Md Azizur Rahman Ziko ভাই শুধু মন খারাপ টাই দেখলেন, তুলনা কি অযোক্তিক মনে হল? যাই হোক অনেকের হয়ত মন খারাপ বা অপরাধ বোধ ও হয়না।",Md Azizur Rahman Ziko,Hasib Uz Zaman যে ব্যাপারে সুস্পষ্ট ধর্মীয় বিধান আছে- সে ব্যাপারে তুলনা বা ব্যাক্তিগত মতামত দেয়ার অধিকার কারও নেই।,Anwarul Maruf,Md Azizur Rahman Ziko hazz er kotha bole ek joner minister giri chole gese so need to be careful,,,,,,,,
33,Shanchar Mahmood,"Wow!
That’s really something.

Just remembered once I was debating about the zakat system and established that if two person have exactly same amount of income and one buy a Toyota Camry and other buy a Lexus, that Lexus guy has to pay less Zakat since there will be less leftover at the end of the year.",,,,,,,,,,,,,,
34,Munir Haque,"১। কোরবানি আসলেই একধরণের মানুষ গল্প লেখে পশু প্রেম নিয়ে, হজ আসলে গল্প দেখি কত মানুষ না খেয়ে আছে সেটা নিয়ে আর এবার দেখি যাকাত নিয়ে এধরণের গল্পের বেশ প্রচলন হচ্ছে। ২। এধরণের লেখায় একটা প্রচ্ছন্ন মেসেজ আছে, সেটা হচ্ছে যাকাতের ব্যাপারটা ফেয়ার না। কেউ দিতে না চাইলে সে দিবেনা এটা তার ব্যাপার সেটা নিয়ে আমার কোন বক্তব্য নাই। কিন্তু যে এধরণের গল্প লিখবে তার আগে যাকাত সম্পর্কে ভাল ভাবে জানা উচিত। ৩। তাহলে এবার বলি যাকাতের পার্স্পেক্টিভ থেকে কেন এটা ফেয়ার সিচুয়েশন। ইসলাম সবসময় চায় অলস অর্থ পড়ে না থেকে যেন অর্থ সমাজে, ইকোনমি তে রোল হয়। সেকারণেই যাকাত টা আসে যে অর্থ অলস ভাবে এক চান্দ্র বছর পরে আছে তার উপর ভিত্তি করে। কেউ যদি যাকাত এভয়েড করার জন্য যতদিন না ফ্ল্যাট কেনা হচ্ছে, সেই টাকাটা দিয়ে অন্য কিছু কিনে (যেমন কোন হালাল ব্যাবসায় খাটাল/
উবারে গাড়ী কিনে ভাড়া দিল ইত্যাদি) তাহলে সেই টাকার উপর আর যাকাত থাকলনা। কেন? কারণ টাকাটা ইকোনমি তে রোল হচ্ছে সেটা আর তখন অলস পরে থাকা অর্থ থাকল না। একটু চিন্তা করে দেখেন শাফির যে ১ কোটি ২০ লাখ টাকার ইনভেস্টমেন্ট তার কারণে এর সাথে জড়িত অনেকের রুটি রুজির ব্যাবস্থা হয়েছে কিন্তু নাফির টাকাটা কিন্তু ব্যাঙ্কে অলস ভাবে পড়ে আছে। এই ১ কোটি দিয়ে যে ব্যবসায়ী বাসা বানিয়েছে সে শ্রমিকদের মজুরি দিয়েছে, কারো কাছ থেকে বিল্ডিং ম্যাটেরিয়ালস কিনেছে। সেই টাকা আবার রোল হয়ে গিয়েছে রড-সিমেন্ট, টাইলস, ইট ইত্যাদি ব্যবসায়ীর কাছে। সেখান থেকে আবার রোল হয় টাকাটা ইকোনমিতে। এবার বুঝা যাচ্ছে অলস পরে থাকা টাকা আর রোল হওয়া টাকার পার্থক্য? এই একই আইডিওলজি কিন্তু ক্যাপিটালিস্টিক সোসাইটিতেও খাটান হয়। যেমন অনেক বিলিওনিয়ার দের কোন ট্যাক্স ই দেয়া লাগেনা যেহেতু তারা আয়ের বড় অংশই আবার বিজনেস এ রিইনভেস্ট করে (+ ইন্ডাস্ট্রি করার জন্য বড় অঙ্কের লোন নেয়া আছে)। ৪। যে ইসলাম মানে এবং বিশ্বাস করে আমার এই সম্পত্তি আল্লাহ দিয়েছে বলেই আমি পেয়েছি তার যত টাকাই যাকাত আসুক, তার সেটা দিতে কিছু মনে হয় না বরং ফরয আদায়ের তৃপ্তি হয়।",Hasib Uz Zaman,Munir Haque thanks for nice explanation bhai,Md Nazibul Islam,Thank you bhai for your nice explanation,Munir Haque,"You are welcome. I studied a lot when our foundation started taking Zakat money. I don't mind if someone is unwilling to pay zakat (personal choice), but misrepresenting
zakat is not acceptable.",Jamil Ashraf,Munir Haque point 4 is spot on.,Munir Haque,"আর আরেকটা জিনিষ দেখে মজা লাগল এবার আড়িপাতায়। যারা যাকাত দেয়াত দূরের কথা নিজেদের মুসলিম পরিচয় দিতেই লজ্জা পায়, তারা দেখি এবার যাকাত নিয়ে খুব ওরিড। আবার ইসলামি পয়েন্ট অফ ভিউ থেকে কোন ব্যাখ্যা দিলে যুক্তির বদলে হাহা দিয়ে বেশ মজা পাচ্ছে। এসব সাম্প্রদায়িক বিগট দের দেখলে মজাই লাগে।",Md. Daiyan Nafis Prodhan,"Munir Haque আপনার উত্তরটাই দিতে আসছিলাম

যে যাকাত স্থির টাকাকে নিরুৎসাহিত করে",Fuad Mahmood,Munir Haque Thanks bhaiya. This comment should be a separate post.
35,Saidul Hoque,একটা কুৎসিত গল্প। যাকাত হলো গরিবের হক। জাকাতের টাকাটা আপনার না। আশাকরি যেটা জানেন না সেটা নিয়ে গল্প / কল্পনা করে কিছু লিখবেন না। Mohammad Jahangir Kabir,Shanchar Mahmood,"Saidul Hoque
Of course!
When it comes down to nitty gritty details it feels very ugly indeed.",,,,,,,,,,,,
