,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
10,Md. Daiyan Nafis Prodhan,"গ্রহীতাকে যাকাতের অর্থ দিয়ে কোন কিছু করতে বাধ্য করা যাবে না।= আপনার এই কথা ঠিক আছে। কেউ বাধ্য করালে সেটা ঠিক হবে না।

তবে গ্রহীতার যদি কোন কিছুতে আপত্তি না থাকে, নিজে সেটা নিতে ইচ্ছুক হয়, তাহলে তো সমস্যা দেখতেছি না। আপনার পয়েন্ট কী?",Bidhan Chowdhury,Md. Daiyan Nafis Prodhan নগদ অর্থ দিলে গ্রহীতার স্বাধীনতা থাকলো। একটাই অপশান থাকলে গ্রহীতার ইচ্ছা/অনিচ্ছার কথা বলা অর্থহীন।,,,,,,,,,,,,,,,,,,,,,,,,
11,Tania Ansari,Tania Ansari,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Wahidur Rahman Rokon,"মারশাল্লাহ যা দেখতাছি কয়দিন ধরে, বুয়েট ইসলামি স্কলারের স্বর্গ ভূমি। না জানি কবে আজহারিদের রিজিকে হাত পড়ে!

শেষ পর্যন্ত দাদা ও বিরক্ত হয়ে পোস্ট মারছে।",Bidhan Chowdhury,Wahidur Rahman Rokon কাউরে না কাউরে তো আগায়ে আসতে হবে।,,,,,,,,,,,,,,,,,,,,,,,,
13,Bidhan Chowdhury,কমেন্ট সেকশনে এক ভাইয়ের দেয়া লিংকের স্ক্রিনশট,Zahidul Siddique,Bidhan Chowdhury This is BS. You gave the screenshot of the portion that suits your agenda. Also add the portion that says it is permissible.,,,,,,,,,,,,,,,,,,,,,,,,
14,Nahid Hasan Rasel,ভাইজান আপনার যাকাতের টাকা দিয়ে শাড়ি লুংগি না কিনে উত্তরবঙ্গে চলে আসেন। কিছু লোককে সাবলম্বী করা যাবে ইনশাআল্লাহ।,Bidhan Chowdhury,Nahid Hasan Rasel যাকাতের হিসাব তো আমার নাই। তারপর?,Nahid Hasan Rasel,Bidhan Chowdhury ভাই নেসাব পূর্ণ হয় নি / ঋনগ্রস্থ?? 😥😥,Bidhan Chowdhury,Nahid Hasan Rasel আহা! এরপরও না বুঝলে কি আর করা,Nahid Hasan Rasel,Bidhan Chowdhury তাহলে বুঝায় দেন😥 পোস্ট পড়েও ক্লিয়ার হতে পারলাম না কি বুঝাইতে চাইলেন ?? না ক্যাচাল তৈরি করা উদ্দেশ্য?? 😥😥,Bidhan Chowdhury,"Nahid Hasan Rasel এইটার আলোকেই লেখা, এখানে ক্যাচাল কই?",Nahid Hasan Rasel,Bidhan Chowdhury সরি ভাই। আমি মনে করছিলাম আপনি প্রাক্টিসিং মুসলিম। অন্যদের কমেন্ট পড়ে বুঝলাম অন্য ধর্মালম্বী। কিন্তু আমার প্রশ্ন আপনি অন্য ধর্মালম্বী হয়ে কেন যাকাত নিয়ে পড়ে আছেন?? হয়তবা আপনার ধর্মে কোন ফরমুলা আছে যেটা নিয়ে মাথা ঘামাইলে আপনার ধর্মের কিছু মানুষের উপকার হইত🙂,Bidhan Chowdhury,"Nahid Hasan Rasel বিদ্যানন্দ এবং মানুষ মানুষের জন্য ফাউন্ডেশন নিয়া কয়েকদিনের ক্যাচাল দেখে মনে করায়ে দিলাম গ্রহীতাকে সরাসরি নগদ অর্থ দেয়াটাই সহী, এর বেশি কিছু না।",Nahid Hasan Rasel,"Bidhan Chowdhury ভাই কোন টা সহী আর কোন সহী না এটা যাকাত দাতা জেনে নিবে কারণ এটা তার জন্য ফরজ ইবাদত। যেহেতু এটা ফরজ ইবাদত সেহেতু এর বিস্তারিত স্ট্রিক্টলি বলা আছে। কে দিবে , কাকে দিবে, কিভাবে দিবে , কি দিবে , কেন দিবে???। এখানে নড়চড়ের সুযোগ নাই🙂। নফল ইবাদত যেমন দান সদকাহ আর যাকাত এক বিষয় নয়। 🙂। কোন ফাউন্ডেশনের মাধ্যমে যাকাত দিলে যাকাত আদায় হবে কিনা এটা মুফতি দের ফতুয়া দেখতে হবে। নিজে যেমন গুরুতর অসুস্থ হলে হাতুড়ি ডাক্তার এর কাছে যাবো না খুজে খুজে বিশেষজ্ঞ এর কাছে যাবো , ঠিক তেমনি যাকাত( ফরজ ইবাদত ) এর ক্ষেত্রে মুফতিদের পরামর্শ নেওয়া উচিত🙂।",Zahidul Siddique,Bidhan Chowdhury Bidhan Chowdhury This is BS. You gave the screenshot of the portion that suits your agenda. Also add the portion that says it is permissible.,Bidhan Chowdhury,Zahidul Siddique গরীবরা বোকা বা আর্থিক ম্যানেজমেন্টে অক্ষম হলে পারমিশন আছে। প্রশ্ন হলো আমরা কি ধরেই নিছি যাকাতগ্রহীতা গরীবরা এই ক্যাটাগরিতে পরে?,Tanvir Reza,Nahid Hasan Rasel,Bidhan Chowdhury,"Nahid Hasan Rasel যে যেখান থেকে খুশী জানুক সহী কিন্তু একটাই হয়, মাল্টিপল সহী হয় না। বাকিটা মডারেটগো কথার ফুলঝুরি",Nahid Hasan Rasel,"Bidhan Chowdhury আপনার ধর্মে মাল্টিপল সহী হয় কি না জানি না, তবে ইসলামে বিষয়টা আলাদা, এটি একটি পুর্নাঙ্গ জীবনবিধান। ১৪৫০ বছর আগের জন্য যেমন পারফেক্ট এখনো পারফেক্ট। শুধু আমি আপনি মানি না বা মানতে পারি না এই আর কি।"
15,Md. Redwan Hossain,"আচ্ছা ভাই, আপনার ধর্মে মহিলারা পিতার সম্পত্তির কত শতাংশ জানি পায়?",Bidhan Chowdhury,"Md. Redwan Hossain এ দেশে কিছুই পায় না, ভারতে ৫০% পায়",Ahmed Borhan,"রাষ্ট্রীয় আইন বাদ দেন, ধর্মীয় আইন বলেন। রাষ্ট্র ধর্ম না।",Dilip Kumar Mondal,Md. Redwan Hossain হিন্দু ধর্মে মহিলারা পিতার সম্পত্তির কিছু পায় না।,Md. Redwan Hossain,"Bidhan Chowdhuryভারত আসবে কেন? আপনার ধর্মীয় আইনের কথা জানতে চাইছি। ভারত, বাংলাদেশ না",Bidhan Chowdhury,"Md. Redwan Hossain গোত্রে গোত্রে তফাৎ থাকায় বিয়া শাদী, সম্পত্তি ধর্মীয় আইন অনুযায়ী নিষ্পন্ন করা সমস্যা বলে রাস্ট্র সম্প্রদায় অনুযায়ী কমন আইন করে, দেশে মুসলিমদের জন্যিও তাি।",Bidhan Chowdhury,"Ahmed Borhan রাষ্ট্রের কথা বললাম, ধর্মে যাই থাকুক সম্পত্তির ভাগবাটোয়ারা রাষ্ট্রের আইনানুযায়ীই চলে। কাল থেকে এদেশে হিন্দু সম্পত্তি আইনে ৫০% দিলে হিন্দুরাও ৫০%ই দিতে বাধ্য।",Ahmed Borhan,"তো ভাই রাষ্ট্রীয় আইন নিয়েই থাকেন না, ধর্মীয় আইনে হাত ঢুকাতে আসতেছেন কেন! যেটা আবার আপনার নিজের ধর্মও না! অনধিকার চর্চা হয়ে যাচ্ছে না বিষয়টা!",Bidhan Chowdhury,"Ahmed Borhan হাত ঢুকাইলাম কই? বিতর্কটা বিদ্যানন্দ, মানুষ মানুষের জন্য ফাউন্ডেশন নিয়া চলছে বলেই সহজ বয়ান দিলাম, তাতেও সমস্যা?",,,,,,,,,,
16,Noor E Alam Siddique,"বিভিন্ন সময় শুনছি অনেকে বলেন, অমুক বিষয়ে বিধান কি? ধর্মীয় বিধান অনুযায়ী এটা করতে হবে, সেটা করতে হবে, জীবন বিধান এমনই। এতদিন বুঝি নাই এই বিধান জিনিষটা কি। আজ বিধান বাবুর পোস্ট দেখে জানতে পারলাম বিধান কি।",Bidhan Chowdhury,"Noor E Alam Siddique বিধান ভালো, বিধান ফলো করলে লাইনে থাকা যায়।",Noor E Alam Siddique,"Bidhan Chowdhury সব বিধান ভালো না, কালা কানুন এর মতো কালা বিধান থাকার সম্ভাবনাও উড়িয়ে দিচ্ছি না।",Bidhan Chowdhury,"Noor E Alam Siddique টাকার যেমন সাদা/কালো হয় না, বিধানেরও তেমন সাদা/কালা হয় না। বিধান বিধানই।",Dilip Kumar Mondal,Noor E Alam Siddique বেফাঁস কিছু বলে ফেলেছে নাকি? কিছু বুঝতে পারছি না।,Noor E Alam Siddique,"Bidhan Chowdhury https://
www.dw.com/bn/
কালো-টাকা-কী-পরি
মাণ-কত/
a-49221169",,,,,,,,,,,,,,,,
17,Jamil Ashraf,ঈমান নামাজ রোজা হজ্জ আখিরাত এইসব নিয়েও আপ্নার গবেষণা প্রয়োজন। জাতি আপ্নার মতামত জান্তে চায় হযরত।,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Taania Jannat,"যাকাতের মূল উদ্দেশই হল , এই বছর যে যাকাত নিচ্ছে সে যেন আগামী বছর নিজে যাকাত দিতে পারেন। এখানে স্বাধীনতা শব্দটার ব্যাবহার বাহুল্য মনে হচ্ছে। আর যদি ত্যানা পেঁচাইতে চান সেটাও OK । ওইটা আপনার স্বাধীনতা।",Bidhan Chowdhury,"Taania Jannat না, যাকাতের মুল উদ্দেশ্য হচ্ছে দাতার নিজের অর্থ পরিশুদ্ধকরণ। এখানে গ্রহীতা স্বাধীন, যা কিছু বাধ্যবাধকতা তা দাতার।",Taania Jannat,"Bidhan আপনার পোস্টেই তো বললেন যে গ্রহীতার স্বাধীনতা নেই।আপনি কাল টাকা সাদা করা/ পরিশুদ্ধকরন /
স্বাধীনতা যা ইচ্ছা ভাবতেই পারেন। তাতে যাকাতের significance বাড়বে বৈ কমবে না।কারন এটা একটা religious obligation,charit
able কাজে সাহায্য করতে না চাইলে thats totally ফাইন। কিন্তু শুধু শুধু আজাইরা কথা কেন বলছেন ।",Bidhan Chowdhury,"Taania Jannat কোন কমেন্টে বললাম গ্রহীতার স্বাধীনতা নাই? গ্রহীতার স্বাধীনতা আছে তবে সেইটা যাতে অক্ষুণ্ণ রাখা হয় তাকে নগদ অর্থ দিয়ে। যাকাতের সিগনিফিকেন্স নিয়া কথা বললাম না, সেটা আরো আজাইরা মনে হবে।",,,,,,,,,,,,,,,,,,,,
19,Touhidul Islam Anik,Big Brain energy 😂,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Touhidul Islam Anik,"আপনি -
১. যাকাতদাতা নন
২. যাকাত গ্রহীতাদের মত অবস্থাও নাই
৩. মুসলিমও নন

তাহলে ইসলামের বিধি-বিধান নিয়ে মাথাব্যথা কেন ভাই? ধর্ম কিভাবে পালন করতে হবে সেটা নিয়ে কি ভিন্ন ধর্মের মানুষ জ্ঞান দিতে পারে? 🤔",Quazi Habibul Hossain Tito,Touhidul Islam Anik জানতে চাওয়া কিন্তু সঠিক পদক্ষেপ।,Bidhan Chowdhury,"Touhidul Islam Anik গুড কুশ্চেন, একটা সার্বজনীন ফোরামে গত কয়দিন ধরে এ বিষয়ে এত্তসব জ্ঞান পাচ্ছিলাম তাতে আর নিজেরেও আলাদা কিছু মনে হচ্ছিল না। আসলেই কি এ ফোরামে আমাদেরকেও এ জ্ঞান নিত্য নিতে হচ্ছে না? এ বিষয়ে আপনার কি মত? আবার বইলেন না, ভালো না লাগলে পোস্ট এড়ায়ে যান, একই কথা আমিও বলতে পারি। ও, আরেকটা বিষয় বিদ্যানন্দও একটা পয়েন্ট।",Touhidul Islam Anik,Quazi Habibul Hossain Tito উনি জানতে চাওয়ার পর আবার দাবি করে বসেছেন সেটা সঠিক পদক্ষেপ না,Touhidul Islam Anik,"Bidhan Chowdhury
১।সার্বজনীন ফোরামের সব পোস্টেই কি আপনি এনগেজড হন?যদি না হন তাহলে এই পোস্টগুলো নিয়েই শুধু সমস্যা তাই নয় কি?

২।জ্ঞান দেয়া হচ্ছে মুসলিমদের উদ্দেশ্য করে।সবাইকে উদ্দেশ্য করে না।সেই পোস্ট তো আপনাকে জোর করে পড়তে বাধ্য করা হচ্ছে না।ফেসবুক ওয়ালেও তো অনেক রিল আসে আজকাল সেগুলা সব দেখতে কি আপনাকে বাধ্য করা হয়?
আর সম্পূর্ণ অজানা বিষয়ে জ্ঞান নেয়ার উদ্দেশ্য থাকলে তো ভাই মানুষ সবার আগে সর্বোত্তম সোর্সের কাছে যাবে ফেসবুকেই, সেই গ্রুপেই, আবার পোস্ট করবেনা তাইনা?

৩।ভালো না লাগলে পোস্ট এড়িয়ে যাবার অপশন অবশ্যই আছে।যে পোস্ট আপনাকে উদ্দেশ্য করে দেয়া না আপনি এড়িয়ে যেতেই পারেন।আপনার পোস্ট আমার মত মুসলিমদের উদ্দেশ্য করেই দেয়া তাই আমি এড়িয়ে যেতে পারি না।এখানেও আপনি আটকে গেছেন।",Touhidul Islam Anik,"Bidhan Chowdhury আর বিদ্যানন্দে যাকাত দেয়া নিয়ে কনফিউশন হইছে ভাই,দান করা নিয়ে না।বিদ্যানন্দকে
দান করা টাকা দিয়ে কেউ কিছু করতে বাধ্য করতেছে না।আপনার এই লজিকও খাটে না ইসলাম ধর্মের আইনকানুন বিষয়ে স্বাধীনতা চাওয়া।",Bidhan Chowdhury,"Touhidul Islam Anik বিদ্যানন্দ বিতর্কে হিন্দুদের প্রসংগও এসেছে, সেখানে ফাউন্ডেশন যে অপ্রাসঙ্গিক সেটাই পোস্টে বলা। আর, আমি স্বাধীনতা দেখতে চাচ্ছি ধর্মীয় আইনকানুন এর আলোকেই। সেখানে কোন ভুল থাকলে সেটা বলেন। এর বাইরের আলাপ ক্রিকেটার না হইলে ক্রিকেট নিয়া আলাপ করা যাবে না বলার মতই বলা।",Touhidul Islam Anik,"Bidhan Chowdhury ধর্মীয় আইনকানুনে কোন স্বাধীনতা নাই।যে ক্ষেত্রে যেটা প্রযোজ্য সেটাই করতে হবে।আপনার পুরা প্রশ্নের উত্তর এই লিংকে পেয়ে যাবেন -
https://
islamqa.info/en/
answers/79337/
paying-zakaah-in
-the-form-of-go
ods-instead-of-
cash
যাকাত গ্রহণকারী যাকাতের অর্থ দিয়ে মদও খেতে পারে ইচ্ছা করলে।সেক্ষেত্রে
পরবর্তীতে নিশ্চয়ই আপনি তাকে যাকাত দেবেন না,কিংবা দিলেও তার কল্যাণ হয় সেরকম কিছু দেবেন।কঠিন কিছুই নাই এখানে।
ক্রিকেটার না হলেও আপনি ক্রিকেট খেলেন,নিয়মকানুন
জানেন আলাপ করতেই পারেন।কিংবা ধর্মগুরু না হলেও আপনি ধর্ম পালন করেন ধর্মীয় বিষয়ে প্রশ্ন তুলতে পারেন।কিন্তু এক ধর্মের মানুষ আরেক ধর্মের আচার কিভাবে পালন করতে হবে সেটা নিয়ে প্রশ্ন তুলতে পারে না এটাই বলতে চাচ্ছিলাম।
ধর্ম সম্পর্কে জেনে ধর্মান্তরিত হতে যাওয়ার আগ্রহ আর নিতান্তই ধর্মীয় বিষয় নিয়ে খোচাখুচি করার আগ্রহ এক জিনিস না ভাই। 😁",Bidhan Chowdhury,"Touhidul Islam Anik পোস্টে সেটাই বলা, বাধ্যতামুলক গ্রহীতার হাতে কিছু ধরিয়ে দিলে গ্রহীতার স্বাধীনতা থাকে না। নগদ অর্থ দিলে থাকে।।",Touhidul Islam Anik,গ্রহীতা মদখোর হলে তার স্বাধীনতা দেখার প্রয়োজন নাই,Asif Melvin,"Bidhan Chowdhury আপনার প্রশ্নটা কোন মুসলিম করলে হয়তো, যা বুঝলাম, অনেকে অন্যভাবে নিতো। যাই হোক, আপনার ক্রিকেট লজিক দেখে। আপনি ক্রিকেটার না, ক্রিকেট খেলা পছন্দ করেননা, ক্রিকেট নিয়া আলাপ শুরু করেছেন। এখন তাহলে তো ক্রিকেটের ব্যাসিক নিয়ম কানুন ও ফিলোসফি নিয়ে বিনয়ের সাথে প্রথমে প্রশ্ন করা উচিত। যেমন, রান কিভাবে নেয়, রান নিলে কি হবে, নো বল কিভাবে, কিভাবে হার জিত ইত্যাদি। এগুলো না জেনে আপনি ক্রিকেট কমিটি বা কোন মিটিং এ এসে বলছেন, ডার্কওয়ার্থ লুইস এমন হওয়া উচিত, অমুক নিয়ম এমন হলে ভালো হয়, অন্যেরা আপনাকে কিভাবে রেস্পন্স করবে???

একই প্রশ্ন, একজন বিনয়ী, প্রকৃতই জানতে চাওয়া লোক করলে অন্য রকম হবে। আমার চিন্তায়ও ভুল থাকতে পারে।",,,,,,
