,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
10,Amit Kumar Raut,"Dari nai tupi nai , bhabir burkha nai … eki kando",Sayeed Ahammad,"Amit Kumar Raut বাহান্ন বছর ধরে রাজাকার আলবদরদের দাড়ি টুপিকে উপলক্ষ করে আপনি ও আপনার দোসররা বাংলাদেশের গোটা মুসলিম সমাজের দাড়ি টুপি নিয়ে কটাক্ষ করার, দাড়ি টুপি ওয়ালা মনুষ্য অবয়ব নিয়ে র‍্যালী করার অবারিত সুযোগ ভোগ করতে করতে, এই সুযোগ হাত ছাড়া হয়ে যাবার আতংকে ঘুম নষ্ট করেছেন, আহারের রুচি হারিয়েছেন। বাধ্য হয়ে দাড়ি টুপি ওয়ালা মনুষ্য অবয়ব এর বদলে হুতোম পেচার অবয়ব নিয়ে র‍্যালী করতে বাধ্য হচ্ছেন। সর্বোপরি শরীরের আকৃতি হাত ছাড়া হবার জোগাড় হয়েছে।
এমন বিপদে আমার চেয়ে বড় বন্ধু আপনি পাবেন না।
রাজাকার আলবদরদের দাড়ি টুপি ছিলো এটা যেমন সত্যি, নারী নির্যাতনের সময়ে সেই নর পিশাচেরা কিন্তু শরীরের বিশেষ অংগ ব্যবহার করেছে।
দাড়ি টুপি ওয়ালা কল্পিত রাজাকার আলবদরের মুখাবয়ব নিয়ে র‍্যালী করলে, নিরিহ দাড়ি টুপি ওয়ালা মুসলিম নাগরিকগণ আঘাত পেয়ে প্রতিবাদ করছেন।
কিন্তু দাড়ি টুপি কে কটাক্ষ করার সুযোগ কিছুটা কমে এলেও, অভিমান করে আবার সেই বিশেষ অংগ ওয়ালা কল্পিত নর পিশাচ রাজাকার আলবদরের মুখাবয়ব নিয়ে র‍্যালী করার বিকল্প চিন্তা নেহায়েতই বোকামি ও অসমীচীন হবে।",Amit Kumar Raut,"Sayeed Ahammad emon bondhu thakle shotrur dorkar pore na,,, habijabi garbage lekha.",Md. Mainul Hasan,Amit Kumar Raut পুরাই মজিদের মতো।,Sayeed Ahammad,Md. Mainul Hasan সুন্দর গাধাদের ক্ষোভ প্রশমিত না হওয়া পর্যন্ত অপেক্ষা করাই শ্রেয়তর।,Md. Mainul Hasan,Sayeed Ahammad অায়না😃😃,Abdullah Al Mamun,"Amit Kumar Raut বাংলাদেশের মডার্ন মুসলিমদের মতো হিপোক্রেট পাওয়া খুব দুর্লভ। এরা পর্দা প্রথার বিরুদ্ধে কথা বললে দুর্বার প্রতিরোধ গড়ে তোলে, কিন্তু নিজ পরিবারের ক্ষেত্রে ঠনঠন। এরকম হাজারো উদাহরণ দেওয়া যাবে যেমন মাদ্রাসা শিক্ষা ব্যবস্থা, দাড়ি-টুপি-পাঞ্
জাবী ইত্যাদি।",Sayeed Ahammad,"Abdullah Al Mamun একই ব্যক্তিকে একাধারে গথামের মডার্ন জ্ঞানী ব্যক্তি, হিপোক্রেট এবং সুন্দর গাধা হিসেবে দেখলাম। আসলেই দুর্লভ, অস্বীকার করার জো নেই।

একদম সঠিক পর্যবেক্ষণ, নব বধূর পাশেও পাঞ্জাবী পড়া মানুষকে সুন্দর গাধার মত দেখায়।
মডার্ন মুসিলমরা নব বধূ কে হিজাব না পরিয়ে, পরিবারের ক্ষেত্রে ঠনঠন, নির্ভূল পর্যবেক্ষণ।
তবে, মডার্ন মুসিলমরা বিয়ের আগে দাড়ি রাখে না, বিয়ের পরে টুপি না পরলেও ফ্রেঞ্চকাট দাড়ি রাখে।",Abdullah Al Mamun,"Sayeed Ahammad ভাই, তাহলে আপনিও আমার সাথে একমত?"
11,Kazi Salauddin,good writing!!,,,,,,,,,,,,,,,,
12,Ahmed Opu,"পৈতৃক সূত্রে পাওয়া ধর্ম নিয়ে একেকজনের যে দাপট, ভাইরে ভাই!
এরা জাস্ট ইসলাম ব্যতীত অন্য কোন ধর্মের ঘরে জন্মাইলে এদের আশেপাশের মুসলিমদেরই খবর ছিল, এদেরই হাতে।",Sayeed Ahammad,"Ahmed Opu আপনার ওয়ালে লিখেছেন, আপনার বাবা একটি জ্বলজ্যান্ত মিথ্যা ফটোফ্রেম মসজিদের মিম্বরের পাশের ওয়ালে টাংগিয়ে দিয়ে, বছরের পর বছর নিরিহ মুসল্লীদের সেটাকে সত্যি ভেবে সেটার সামনে নামাজ আদায় করতে বাধ্য করেছেন।
বাধ্য করার কথা বললাম, কারণ ছবিটার সত্য উদঘাটন করার সুযোগ শুধুমাত্র আপনার পরিবারের ও আপনার বাবারই ছিলো।
আপনার কী মনে হয় না আপনার শিশু মনেগভীর দাগ কাটার প্রকাশই ""এরা জাস্ট ইসলাম ব্যতীত অন্য কোন ধর্মের ঘরে জন্মাইলে এদের আশেপাশের মুসলিমদেরই খবর ছিল, এদের হাতে।""

এখন আপনার শিশু মনের গভীরে গ্রত্থিত সেই দায় হতে এভাবে হালকা হতে চাইছেন কী ?",Ahmed Opu,"Sayeed Ahammad ধন্যবাদ, আমার প্রোফাইল হাতড়িয়ে বেড়ানোর জন্য 🫡

ছবিটার সত্য উদঘাটন করার সুযোগ শুধুমাত্র আমার পরিবারের কিভাবে ছিল একটু ব্যাখ্যা করবেন দয়া করে...

আমার শিশুমনে তখন কোন দাগ কাটে নাই।
আমিও বিশ্বাস করেছিলাম। পরে যখন প্রশ্ন করতে শিখেছি তখন বুঝেছি ঘটনার পেছনের ঘটনা। বাকিরা তো প্রশ্ন করার সাহসই পায় না... অদৃশ্য জুজুর ভয়ে...

যাই হোক, কিসের মধ্যে কিসের দায় খুঁজে পাইতেছেন সে আপনি আর আল্লাহ ভাল জানে।",Kazi Tamaddun,Ahmed Opu আম্রিকায় জন্মাইলে এরাই ট্রাম্প র‍্যালিতে যেয়ে ইমিগ্র‍্যান্ট আর মুসলিমদের গাল্লাইতো। পৃথিবীর সব কনজার্ভেটিভরাই ভাই ভাই।,Sayeed Ahammad,"Kazi Tamaddun আমেরিকা ও ইংল্যান্ড এর একই নামের দুটি শহরের প্রাচীন তথাকথিত জ্ঞানী ব্যক্তিগণ ""হযবরল"" নামের গান কোরাসে নিরালায় গাইতেন, মানুষ কে কষ্ট দিতেন না।
ফলে, মানুষ জন ভালবেসে তাদের শহরের নামে গথামের জ্ঞানী ব্যক্তি ও সুন্দর গাধা বলতেন।",Kazi Tamaddun,"Sayeed Ahammad মাশাল্লাহ ভাই। চমৎকার বলেছেন। রমজান মাসে এরকম আচরণই তো আশা করি আপনাদের কাছে। আল্লাহপাক আপনাকে জ্ঞানী বানিয়ে গাধার পিঠে চড়ে গথাম নগরি ঘুরে দেখবার তৌফিক দান করুক, আমিন।",,,,,,
13,শিহাবুজ্জামান শান্ত,উনি সবাইকেই পার্সোনাল অ্যাটাক করছেন। এখানে কমেন্ট করাও দুঃসাহসের বিষয়।,Sayeed Ahammad,"শিহাবুজ্জামান শান্ত আপনি বলছেন, আমি সবাইকেই পার্সোনাল এটাক করছি। এই মন্তব্যে আপনি আমাকে পার্সোনাল এটাক করার কোন স্তর টি বাকী রেখেছেন, বুঝার ক্ষমতা আপনার আছে, আমার মনে হয় না। ব্যক্তিগত আক্রমণের পাল্টা জবাব তীক্ষ্ণ হলেই, শুধুমাত্র পাল্টা জবাবকে ব্যক্তিগত আক্রমণ বলা দূর্বলের আস্ফালন।

মনে করুন, সৈয়দ আরশাদ আলী এবং আকাশ দত্ত এর সাথে আপনার মূল্যায়ন আমার হিসেবে কম বেশী হতেই পারে, এতটুকু স্বাভাবিক স্বাধীনতা সবার আছে।",,,,,,,,,,,,,,
14,Hasanuzzaman Siddique Mithul,"মানুষের ধর্মই হচ্ছে নিজের প্রয়োজনে পারিপার্শ্বিক অবস্থা থেকে সুবিধা আদায় করা, তা সে যে কোন প্রকারেই হোক না কেন। ডারউইনবাদের একটা উপসংহার হচ্ছে, যোগ্যরাই টিকে থাকে। টিকে থাকতে মানুষ নিজ নিজ বুদ্ধি বিবেক প্রয়োগ করে সুযোগ এবং সুবিধার সদ্ব্যবহার করে। আল্লাহর দীন ইসলাম এখানে লাগাম টেনে ধরে- নির্দিষ্ট গন্ডির বাইরে কোন মুসলিমকে যেতে দেয় না। এটা অনেক কঠিন একটা পথ। সৃষ্টির প্রথম থেকেই মুসলিমরা তিরস্কার, ভর্ৎসনা শুনে আসছে। আপনাকেও এগুলো মেনে নিতে হবে। আখেরে বিজয়ী কারা সেটা সময় বলে দেয়, বলে দেবে- দুনিয়াতে এবং ইনশাল্লাহ আখিরাতেও। সবুর এবং আল্লাহর উপর নির্ভরশীলতা মুসলিমদেরকে শান্তি দিয়ে এসেছে। মুসলিমদের উচিৎ নিজেদের ত্রুটিগুলো দূর করে যতটুকু সম্ভব পরিচ্ছন্ন থাকা।
এসব বিষয়ে সরাসরি বিতর্কে না জড়ানোই উত্তম বলে আমি মনে করি Sayeed Ahammad ধন্যবাদ",Md. Mainul Hasan,Hasanuzzaman Siddique Mithul ধন্যবাদ ভাই,,,,,,,,,,,,,,
15,Rajorshi Biswas,Clear violation of Group rule 2.,,,,,,,,,,,,,,,,
16,Manoj Banik,"আপনার পোস্টতো দেখি পুরাই ডাইনামিক, ঘন্টায় ঘন্টায় শব্দ পরিবর্তন হয়!
এখন যেটা দেখছি এটা কত # ভার্সন?

আর হ্যা, আমার অন্য বিষয়ে আগ্রহ নাই, শুধুমাত্র এমন পরিবর্তনশীল স্ট্যাটাস দেয়ার কোয়ালিটি সম্পর্কে যদি বলতেন। 🙏",Sayeed Ahammad,"Manoj Banik আগে দেখতাম আপনারা রাজাকার আলবদরদের দাড়ি টুপি ও লেবাসকে কেন্দ্র করে দেশের গোটা মুসলিমদের দাড়ি টুপি ও লেবাসকে কটাক্ষ করার জন্য দাড়ি টুপি ও লেবাসওয়ালা মনুষ্য মুখাবয়ব নিয়ে র‍্যালী করতেন। নিরিহ মুসলিমরা প্রতিবাদ করায়, এখন ডায়নামিক্যালি আপনারা দাড়ি টুপি ওয়ালা মনুষ্য মুখাবয়ব এর বদলে হুতোম পেচার মুখাবয়ব নিয়ে র‍্যালী করেন।
আবার একটি শব্দ নিয়ে আপনারা প্রতিবাদ করায় ডায়নামিক্যালি পোস্টের শব্দ পরিবর্তন হয়ে গেছে।
আরও ডায়নামিক হবার মত বিকল্প আমার হাতে নেই।
তবে, পিশাচ নরাধম দাড়ি টুপি ওয়ালা রাজাকার আলবদররা ভিন্ন ভিন্ন অস্ত্র দিয়ে গ্ণহত্যার পাশাপাশি শারীরিক অংগ দিয়ে নারী নির্যাতন ও সবশেষে নির্মম ভাবে কষ্ট দিয়ে তাদেরকে হত্যা করেছে।
কিন্তু আপনাদের শুধুমাত্র দাড়ি টুপি নিয়ে কটাক্ষ করাটা অবোধ্য।",,,,,,,,,,,,,,
17,Jewel Mohajan,আপনি কোন রাগ ঢাক নাকরে সরাসরি হিন্দুদের মস্তিষ্কের চিন্তা শক্তি মহান সর্বশক্তিমান বিচ্ছিন্ন করে রেখেছেন বলে সরাসরি সর্বশক্তিমানের উপর অভিমান করে বসলেন। নাকি সর্ব প্রকার চেষ্টা করে সমগ্র পৃথিবীতে সফল হতে পারেননি প্রকারান্তে সংযোগ করতে ব্যর্থ হয়েছেন তা বলতে পারছেন না? আপনি যেটা নিয়ে এত্ত দম্ভ করছেন আপনার কতমত পূর্বপূরুষ হতে এটা বহন করে আসছেন?? আপনি যদি আপনার সৃষ্টিকর্তাকে বিশ্বাস করেন আশাকরি কোন মিথ্যা বা কোন ছলচাতুরি নাকরে সরাসরি উত্তরটা দিবেন। প্রসংগত বখতিয়ার খিলজি বাংলায় এসেছিল সাত আটশ বছর আগে।একথাগুলো বলার একমাত্র কারণ হল আপনার লেখার শৈলি দেখে।,Sayeed Ahammad,"Jewel Mohajan কোন ""রাগ ঢাক"" না করে বলছি ""কতমত"" পূর্ব পুরুষ প্রথম ঈমান এনেছিলেন, সঠিক তথ্য দিতে না পারার জন্য আন্তরিক ভাবে দু:খিত।
এবার আপনি কী কোন ছলচাতুরী না করে সরাসরি একটি উত্তর দিবেন, ""যাকাত"" এর পিছনে ভিন্ন ধর্মাবলম্বী হিসেবে আঠার মত লেগে থাকার মাজেজা কী?",Jewel Mohajan,Sayeed Ahammad যাকাত নিয়ে অন্তত আমি কিছুই বলিনি। আপনার সম্পদ কি করবেন এটা আপনার ব্যাপার। তাই বলে কোন কমিউনিটি নিয়ে এবং একটি প্রতিষ্টানকে ধর্মীয় ট্যাগ লাগানোর মত ইতরামি প্রথম শুরু করেছে এখানে।,Sayeed Ahammad,"Jewel Mohajan আপনি লাফাংগা শ্রেণির না হলে ""ইতরামি"" শব্দ চয়ন করতেন না।
কোন প্রতিষ্ঠান কে ধর্মীয় ট্যাগ লাগানো হয়নি। ইসলাম ছাড়া অন্য কোন ধর্ম নিয়ে কথা বলা হয়নি।
সম্পূর্ণ পোস্ট ""যাকাত"" কেন্দ্রিক। যাকাত নিয়ে আমরা স্বাধীন ভাবে কথা বললে, কারও গাত্রদাহের কারণ অবোধ্য।",Jewel Mohajan,Sayeed Ahammad শুরুটা আপনার দ্বারা হয়নি পরে আপনিও সামিল হয়েছেন।,,,,,,,,
18,মহিউদ্দিন খালেদ,"তার মানে আপনি ইসলামের অনেককিছুর প্রতিও আগ্রহ বোধ করেন নাই। কারণ, খৃষ্টান ধর্ম, ইহুদি ধর্ম আর ইসলাম ধর্মের অনেককিছুতেই তো মিল!",Sayeed Ahammad,"মহিউদ্দিন খালেদ খ্রীস্ট ধর্মাবলম্বীদের সাথে ইসলাম ধর্মাবলম্বীদের মিল আপনি ঠিকই বলেছেন। একজন মুসলিম পুরুষ সরাসরি একজন খ্রিস্টান মহিলা কে বিয়ে করতে পারেন জানি।

তবে, ইহুদি ও ইসলাম বিদ্বেষী নাস্তিক মানুষজন বিশ্বাসী মুসলিমদের বোকা বানিয়ে এবং বিশ্বাস নিয়ে তামাশা করতে পছন্দ করেন জানি।
ফলে, বিশ্বাসী মুসলিমদের সাথে ইহুদি ও ইসলাম বিদ্বেষীদের সম্পর্ক আন্তরিক নয়।",Atif Zoha Sreezon,"Sayeed Ahammad শুধু খ্রিস্টান নয়, কোরান শরীফ মোতাবেক আহলে কিতাবের সব ধর্মাবলম্বীদেরক
েই বিয়ের অনুমতি আছে।",,,,,,,,,,,,
19,Pervez Mahmud,"Sayeed Ahammad you are taking credit of something, that you got automatically without an effort . If you born as a Christian or any other religious believer family, most likely you would say the similar lines: Etota boyos holo, nij <his parent’s religion > chara onno dhormer proti bindumatro agroho bodh Korlam na.",Sayeed Ahammad,"Pervez Mahmud আপনি নিশ্চিত ভাবেই জানেন যে, আপনার ও আমাদের পূর্ব পুরুষগ্ণ সনাতনী ধর্মাবলম্বী হতে ধর্মান্তরিত হয়ে মুসলিম হয়েছেন।
কাজেই আপনার ও আমাদের মুসলিম হিসেবে ক্রেডিট নেয়ার সুযোগ নেই। আপনি ও আমরা, আমাদের পূর্ব পুরুষ ধর্মান্তরিত না হলে সনাতনী ধর্মাবলম্বী হিসেবেই থাকতাম।",Pervez Mahmud,Sayeed Ahammad so assume you are Sonatoni. And think how you would behave in that case. It is not a good idea to show arrogance with luck,SM Sohelozzaman,"Pervez Mahmud কুপির নিচেই অন্ধকার, আর কুয়োর ব্যাঙ তো ঘ্যাঙর ঘ্যাঙ করবেই।",Sayeed Ahammad,"SM Sohelozzaman পৃথিবী গোলাকার এটা একজন সুন্দর গাধা বাবা জানেন।
তাই গোলাকৃতির পাত্রে নিষ্পাপ সন্তান কোলে একজন সুন্দর গাধা বাবার কাছে দুনিয়ায় এমন মুহূর্ত স্বর্গসুখ সম, অসাধারণ এক অনুভূতি।",,,,,,,,
20,Rabindra Nath Sarker,Please delete it,,,,,,,,,,,,,,,,
